Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
Luxurious main house with lots of options!,Robin Hills,1985000,4,3.0,3,0
House for sale,Huttenheights,1050000,3,2.0,2,0
With a little TLC,"Equestria, 1234/1061 Stellenberg street",735000,3,1.0,2,0
Upgraded Family Home,"Wilro Park, 25 Umgeni Road",1795000,4,3.0,3,2
Walk right in !!!,Tlhabane West,800000,3,1.0,1,0
Perfect Location in Vergesig!!,Vergesig,3600000,3,2.0,3,2
Escape To Suiderstrand,Suiderstrand,492000,0,0.0,0,0
Make This Unique Property Yours,Vanderbijlpark SE 3,2260000,3,2.0,2,2
Invest In Exclusive Suiderstrand,Suiderstrand,535000,0,0.0,0,0
3 Bedroom home in Elsies River!,"Valhalla Park, 63 6th Street",1550000,3,2.0,0,0
Friendly neat home,Boitekong,640000,2,1.0,1,2
Land For Sale,Denneoord,380000,0,0.0,0,0
Stunning property in Blue saddle ranches estate,"Blue Saddle Ranches, 52 Arkansas",1295000,3,3.0,2,0
3 bedroom house for sale in Glenmore,Glenmore,1890000,3,2.0,2,0
Land For Sale,Denneoord,380000,0,0.0,0,0
Building package in Bankenveld,Bankenveld,4300000,3,3.0,4,2
Excellent Investment Opportunity,Kilner Park,1590000,6,5.0,4,0
Be the first to choose!,"Langeberg Heights, 10 Don Str",2995000,3,2.0,4,0
Perfect starter home,Mdantsane Nu 14,310000,2,1.0,0,0
Land for sale,Denneoord,380000,0,0.0,0,0
A lot of a house on offer in Willow Park,Willow Park,1395000,6,3.0,5,2
Land for sale,Denneoord,380000,0,0.0,0,0
Renovators Dream!,Morning Hill,3100000,4,3.0,3,2
One Bedroom Apartment In Bonaero Park.,"Bonaero Park, 1 DF Malan Rd",385000,1,1.0,1,0
Prime Location! Magnificent Views!,Paradise Beach,1695000,0,0.0,0,0
Looking For a Good Buy?,Fountains Estate,275000,0,0.0,0,0
Lovely Family Home,Brakpan North,980000,3,1.0,2,0
"Bidding to start from R2,000,000!!! Live Auction!","Wembley, 54 Taunton Road", 2000000,4,3.5,4,2
Spacious Unit in Exclusive Development!!!,De Bakke,1395000,2,2.0,2,0
"Modern, Exclusive Ground Floor Duplex Apartment",Bryanston,2250000,2,2.0,1,2
Hilton,"Hilton, 16 Flamingo Drive",10995000,5,4.0,1,0
Cottage Styled Garden Simplex,Seaward Estates,2290000,3,2.0,2,1
Modern family home with sea and mountain views!!!,Reebok,3500000,3,2.0,2,0
Perfect  Starter Unit  or Investment Property,Vereeniging Central,480000,2,1.0,1,0
Spacious three bedroom house in Leondale!!!,Leondale,760000,3,2.0,2,0
Beautiful flat for sale in New redruth.,New Redruth,980000,2,1.0,2,1
Low Maintenance And Spacious Family Home,Vanderbijlpark SE 2,1490000,4,2.0,2,2
Bond squasher,Parkhill Gardens,1600000,8,4.0,4,0
Wheelchair Friendly Dual Living and No Transfer Duty!!,"Crofters Valley, 7 Wolf Power Close",6195000,6,5.0,5,2
"Vacant stand in upper class estate, Bendor.",Bendor,960000,0,0.0,0,0
"Vacant stand in upper class estate, Bendor.",Bendor,1200000,0,0.0,0,0
"The best view. Large vacant stand, Sterpark.",Sterpark,1160000,0,0.0,0,0
"Large vacant stand, for the developer, Sterpark.",Sterpark,1422000,0,0.0,0,0
Boutique Business & Charming Home On Sea View Acre,"Crofters Valley, 59 Sea Cottage Drive",10975000,4,4.0,4,0
"Large vacant stand for the developer, Sterpark.",Sterpark,3280000 ,0,0.0,0,0
Modern Lifestyle  Apartment,"Douglasdale, 205/69 Swallow Drive",990000,2,2.0,2,0
"Large vacant stand in upper class suburb, Sterpark.",Sterpark,820000,0,0.0,0,0
"Spacious and inviting family home, offering dual living.",Worlds View,2950000,6,4.0,0,0
Love life in Monument Park,Monument Park,2990000,3,2.0,3,2
Tropical living in family friendly suburb of Widenham.,Widenham,1295000,4,2.0,2,2
Calling All Developers - Large Vacant Land,"Clovelly, 154 Clovelly Rd",3495000,0,0.0,0,0
Large family Home with double garages,Leachville,600000,2,1.0,0,0
A great start for a young family!!!,"Windmill Park, 7904 Ufukwe Crescent",920000,3,2.0,0,0
Dream Family Home in a sought after Estate in SW 5 Proper,Vanderbijlpark SW 5,3566000,4,3.0,4,2
Immaculate holiday home,"Anerley, 9/27 Bendigo Road",797000,2,2.0,2,1
"Domaine des Anges ""Place of the Angels""",Franschhoek,16500000,5,5.0,6,0
"Stunning 3 Bed Home,Woodhaven",Woodhaven,2595000,3,2.0,2,2
"2 Bedroom sea view apartment in De Bakke, Mossel  Bay.",De Bakke,875000,2,1.0,1,0
Rebuild Me Close to Waterfront,"Vaal Marina, 872 Haring Street",550000,0,0.0,0,0
2  Bedroom Chasedene R 799 000,Chasedene,799000,2,1.5,2,0
Contemporary four bedroom townhouse in Eldo Glen Estate,Eldo Glen,3170000,4,2.5,3,2
Fabulous Home for sale in Lotus jalapeno,Lotus Gardens,850000,2,1.0,3,0
Magnificently beautiful!,Miravaal,1990000,6,3.0,3,8
Secure 4 Bedroom Family Cluster,Magaliessig,3290000,4,3.0,3,0
In need of love,Birdswood,1300000,3,2.0,3,0
"Modern, secure family home in Myburgh Park","Myburgh Park, 6 Chasmanthe Close",3750000,4,3.0,4,2
4 Bedroom House with Great Potential,"Country Club, 29 Wanderers Way",2150000,4,3.5,4,2
What A Find!,"Pinelands, 6 Hawthorne Way",3250000,3,2.0,0,0
Bringing you the WOW factor! What a beaut!,West Beach,4350000,4,3.0,3,2
Westbrook Garden Unit,Westbrook,1495000,3,2.0,2,1
Immaculate ground floor flat with breaker views!,"Westcliff, 184/190 Church Street",1300000,3,1.0,0,0
"Spacious 2 Bed, 2 Bath unit with loft and incredible views","Northcliff, 17/26 Arizona Crescent",1250000,2,2.0,2,0
"Spacious Home in Blommendal, Bellville",Blommendal,2795000,3,2.0,2,0
A realistic price for this area,Nahoon,3950000,4,4.0,4,3
3 Bed family home plus study for sale in Pierre van Ryneveld,Pierre Van Ryneveld,2173000,3,2.0,2,2
"4 Bedroom House For Sale - Northcrest, Mthatha",Northcrest,1050000,4,2.0,2,2
Desirable Dune Ridge - perfect seaside living,Big Bay,5350000,4,2.0,2,0
Luxury Secure Apartment in Historic Precinct,"Paardevlei, 44 Paardevlei Square",2195000,3,2.0,2,0
Impeccable 5 Bedroom family retreat,Geelhoutpark,2200000,5,3.0,3,2
Vacant Stand in Secure Estate - Murrayfield!,Murrayfield,890000,0,0.0,0,0
Honey look at that view!,"Beacon Bay, 2 Quenera Views Quenera Views Road",2795000,4,3.0,4,3
"Lovely Family Home - R1,795,000",Clarendon,1795000,3,2.0,4,0
Spectaculer,St Francis On Sea Phase I,560000,0,0.0,0,0
Family Living in Secure Estate,Lifestyle Estate,2480000,3,2.0,2,2
2 Beds 2 Baths Pet Friendly Unit,"Mayberry Park, 9/14 Yellowood Street",680000,2,2.0,2,0
Brand new! Two bedroom apartments in Lyttelton Manor,"Lyttelton Manor, 13/39 Union Avenue",829000,2,1.0,1,0
Perfect Location in Vergesig!!,Vergesig,3600000,3,2.0,3,2
A sense of simplicity.,Vanderbijlpark CW 6,650000,2,2.0,2,1
Exclusively Upmarket Apartment for Sale in Mulbarton,Mulbarton,580000,2,1.0,1,0
Prime Property in a 24 hour guarded Estate,Waterkloof Heights,2600000,3,2.5,1,0
Glenwood - Huge Potential,Glenwood,1750000,3,1.0,1,2
Chase Valley Heights,Chase Valley Heights,3250000,4,2.0,2,2
So much accommodation and so versatile!,Everton,2695000,5,3.0,3,2
Chase Valley Downs - House with 3 flats,Chase Valley Downs,3100000,7,5.0,5,0
A little bit of heaven!,Elarduspark,750000,2,1.0,0,0
4 Bedroom Suburban Gem,"Athlone, 70 Clifton Road",2900000,4,2.0,2,2
3 Bedroom house for sale in sebokeng,Sebokeng Zone 12,590000,3,1.0,2,0
Starter home near amenities,Mdantsane Nu 4,350000,2,1.0,1,0
Spacious Townhouse for Sale in secure complex!,"Birchleigh North, 16 Strydom street",940000,3,2.0,1,0
Spacious Entertainers Dream...,Golf Park,1500000,3,2.0,0,0
Nest or Invest,Umbilo,650000,2,1.0,1,0
Brand New Elaleni Gardens in Ballito,"Sheffield Beach, 36/P747 Sheffield Beach",3995000,3,2.0,2,0
Brand New Elaleni Gardens in Ballito,"Sheffield Beach, 35/P747 Sheffield Beach",3955000,3,2.0,2,0
Brand New Elaleni Gardens in Ballito,"Sheffield Beach, 29/P747 Sheffield Beach",2995000,2,2.0,2,0
Brand New Elaleni Gardens in Ballito,"Sheffield Beach, 25/P747 Sheffield Beach",3495000,3,2.0,2,0
Brand New Elaleni Gardens in Ballito,"Sheffield Beach, 18/P747 Sheffield Beach",2995000,2,2.0,2,0
Brand New Elaleni Gardens in Ballito,"Sheffield Beach, 8/P747 Sheffield Beach",3445000,3,2.0,2,0
For the Young Entertainer,Vanderbijlpark CE 2,755000,2,2.0,2,2
Realise your Dreams with this Remarkable property,"Copperleaf Estate, 608 St Andrews",7500000,5,5.0,5,3
Comfort Living in a Secure Complex,"Mount Edgecombe, 22 Westmount Drive, 11 Sunset View",2249000,3,2.0,2,2
"Large vacant stand in upper class suburb, Sterpark.",Sterpark,3830000,0,0.0,0,0
Secure family home,"Braelyn, 43 Shasta Street",799000,4,1.0,0,0
Heart of St Francis,Marina Village,5500000,4,3.0,0,0
Immaculate Double Storey House.,Rooihuiskraal North,4350000,4,3.0,3,2
Fabulous home located in prime residetial area,Elandspoort,855000,3,1.0,0,0
3 Bedroom house in exclusive secure estate,"Westcliff, 3 The Quarterdeck",4300000,3,3.0,3,2
"Apartment offers an inviting, safe and relaxed atmosphere",Vanderbijlpark SW 5,630000,2,2.0,2,0
Sophisticated Luxury bordering paddocks,Val de Vie Estate,14000000,4,4.5,2,0
"Quaint, rustic family home, in Myburgh Park",Myburgh Park,2495000,2,2.0,2,2
Penthouse Coastal Retreat,Shakas Rock,7975000,4,3.0,3,2
"Plot 'n Plan Property for Sale in Fisherhaven, Hermanus","Fisherhaven, 58 Protea Road",2165000,3,2.0,2,2
Neat 2 Bedroom Unit in Secure Port Alfred Complex,"Port Alfred, 20/0 Shangri La, Lambert Road",710000,2,1.0,0,0
A beautiful home in a beautiful location,Geelhoutpark,945000,3,2.0,0,0
Don't Miss Out On The Time To Invest,Wild En Weide,965000,2,2.0,2,1
New Release Phase Three in Popular Retirement Village *,C Place,1100000,2,1.0,1,1
Simply the Best!,"St Francis On Sea Phase I I, 21 Cowrie Crescent",5500000,3,3.0,1,0
5 Bedroom Wembley Home,"Wembley, 7 Orchard Circle",4950000,5,4.0,1,0
Perfect Apartment for a Young and Single Person!,"Sagewood, 285/14 Sagewood Avenue",420000,1,1.0,0,0
Property for sale in KwaNobuhle - outside toilet only,"Kwanobuhle, 37 Nkohli",285000,1,1.0,1,0
Canal views and access*,Marina Martinique,1030000,2,1.0,1,0
Majestic in Athlone,Athlone,3200000,4,2.0,3,2
Close to shops/  schools,Pioneer Park,880000,3,2.0,3,0
A Desirably Location,Wavecrest,2650000,4,2.5,3,3
"Vacant stand in Willowbrook, right behind Copperleaf!",Peach Tree Estate,750000,0,0.0,0,0
Immaculate family home in a secured Estate,"New Redruth, 4/14 Launceton",1450000,3,2.0,0,0
"Exclusive Easy Summer Living in Chanteclair, Hermanus","Chanteclair, 32 Black Eagle Road",7800000,5,5.0,6,3
Make This House Your Forever Home!,Rietspruit,585000,3,1.0,1,1
A perfect place,Waterfall,1485000,3,2.0,2,1
Spacious Two Bedroom Ground Floor Apartment,Haasendal,1070000,2,1.0,1,0
"Pinehurst - R4,150,000","Pinehurst, 16 Hillcrest Estate",4150000,4,2.0,1,0
3 Bedroom flat in Waterval East,Waterval East,750000,3,2.0,2,0
First time home buyer!,Garsfontein,799000,2,1.0,1,0
Lock up and go in the heart of Umkomaas,"Umkomaas, 7/24 Spes Bona, Bisset Street",699000,1,1.0,1,1
Vacant Land With River Access,"Nahoon Valley, 8 Ripplemead",1800000,0,0.0,0,0
Neat as a pin,Richem,1650000,4,2.0,0,0
Ideal property for the entertainer near the Golf course,"Pebble Rock Golf Village, 83 Turquoise",3250000,3,3.0,4,3
Two Bedroom Home In Kleinemonde Peninsula,"Kleinemonde, 5 Peninsula Road",950000,2,2.0,0,0
"Beautiful , spacious, light and airy","Blue Mountain Village, 88 Blue Mountain Boulevard",3139500,3,3.0,3,3
"4 Bedroom home for Sale in Sandbaai, Hermanus","Sandbaai, 6 Vader Visser Street",2650000,4,2.0,2,2
4 Bedroom in Sparks Estate,Sparks Estate,1750000,4,2.0,3,0
Neat simplex for newly weds,"South Crest, 25/1 Riverside Village, Louw Street",1150000,3,2.0,0,0
Multiple Unit Property for sale in  Bluff,Bluff,1900000,7,5.0,5,1
For the Young at heart,Protea Park,1820000,5,3.0,3,2
Rosetta - Midlands,"Rosetta, x R103",5950000,5,7.0,7,2
Cosy two Bedroom - Kabega- R 650 000!!,Van Der Stel,650000,2,1.0,1,0
"Great Price, Great Location",Humewood,770000,1,1.0,1,0
Spacious Townhouse in Geelhoutpark,Geelhoutpark,800000,3,2.0,2,1
New beginnings start in New Redruth,"New Redruth, 1/18 Sarah Place, Saint Michael Road",890000,2,1.0,0,0
4 Bedrooms Plus Guest Suite! Best part of Winston Park!,Winston Park,3100000,4,2.0,0,0
Magnificent and Extraordinary Family Home in Vaalpark,Vaalpark,2950000,3,3.5,4,2
Development opportunity,Haven Hills,945000,0,0.0,0,0
Superb Convenient Location with A Functional Family Home!,Risiville,1165000,3,3.0,0,0
The First Open Championship,St Francis Links,2800000,3,2.0,3,2
Vacant Land/Plot for Sale in Sunset Estate,Sunset Estate,695000,0,0.0,0,0
Vacant Land/Plot for Sale in Sunset Estate,Sunset Estate,540000,0,0.0,0,0
A Feel Good Family home amongst leafy serenity,"Pennington, 16/1 R102",3500000,6,6.0,7,2
Immaculate Property for the Sophisticated Buyer!,Newlands,3300000,5,5.0,7,0
Perfect for West Coast Holiday home,"St Helena Views, 83 Claxton",200000,0,0.0,0,0
Spacoius Family Home,Steiltes,2995000,3,3.0,0,0
Brand New Renovated Batchelor Unit in Witbank CBD - Investor,Witbank Central,355000,2,1.0,1,0
Opportunity To Start A Self-Sustainable Living,"Hillside, 271 Road 6 Street",1400000,4,1.0,2,2
Erf In Parys Golf Country Estate,Parys Golf & Country Estate,200000,0,0.0,0,0
A Flat For Sale In Geelhoutpark,Geelhoutpark,450000,2,1.0,1,0
House for sale in Reservoir Hills,Reservoir Hills,2400000,7,3.0,3,2
3 bedroom home in Lake Michelle,"Lake Michelle Security and Eco Estate, 1 Bluefin",3250000,3,2.0,3,0
The Village on Walker-  Build your dream home - Plot & Plan,Kamma Ridge,1795000,3,2.0,3,0
Upmarket outstanding townhouse SE 3.,Vanderbijlpark SE 3,1670000,3,2.0,2,2
Family perfect,Schonkenville,540000,3,2.0,2,1
Brand New Facebrick Home - No Transfer Duty,Parsonsvlei,1590000,4,2.0,2,0
Hidden Gem in Sasolburg!,Sasolburg,1030000,3,2.0,2,4
Perfect lock-up and go apartment in the CBD of VDBP,Vanderbijlpark Central,370000,2,1.0,1,1
An Affordable 1.2131 ha Small Holding in Unitas Park,Unitas Park,1200000,5,3.0,3,4
Bold and Beautiful!,"Durban North, 2 Lynford Place",3950000,5,4.5,5,2
Upmarket living,Mount Edgecombe,6950000,4,4.0,4,2
Family home with flatlet!,Lambton,1650000,4,2.0,2,2
Stunning Townhouse in Lorraine with Communal Pool,"Lorraine, 1 Ravenwood, 9 Sedan Avenue",795000,2,2.0,2,1
"New Development Housing, New beginnings",Evaton West,565000,3,1.0,1,0
Spacious Family house in Brackenhurst.,"Brackenhurst, 20 McBride str",1790000,4,2.0,2,2
Fantastic well priced property for you,"Ridgeway, 29 Leipoldt",2250000,5,2.0,2,0
Open Spacious Living Areas with High Ceilings,Monavoni,3180000,4,3.0,2,0
Movers and Shakers accommodation in Beacon Bay!!,Beacon Bay,3100000,8,7.0,2,0
Take your breath away views in Bothashill,Bothas Hill,1675000,3,3.5,3,0
House + Flats + Offices + Warehouse,Raslou AH,8500000,6,4.0,4,0
Large Family Home for Sale in Blue Lagoon Estate,Blue Lagoon,4000000,6,5.0,5,2
"The Ultimate Gem of SE8, Do not miss out!",Vanderbijlpark SE 8,2673000,4,2.0,2,2
Impressive and simply spectacular pet friendly unit for sale,"Mayberry Park, 23 JG Strydom",639000,2,2.0,2,0
A deal not be missed!,Osizweni,200000,2,1.0,1,1
Under construction - St Johns Village,Howick,3200000,3,2.0,2,2
Paradise Beach Mansion For Sale,"Paradise Beach, 4 Adonis street",7995900,5,4.0,1,2
"Great location, sunny and renovated.",Somerset West Retail Park,1290000,2,2.0,1,0
Tranquility in nature,"Winston Park, 29A Jan Smuts Avenue",1950000,3,3.0,3,0
Save and secure.,Vanderbijlpark CW 6,399000,2,1.0,1,1
Beachfront - Investment - Cocktail hour!,"Blouberg Sands, 4/CAP DU MONT BEACH BOULEVARD",2649999,2,1.0,1,1
Home Ownership Is Key,Evaton West,500000,2,1.0,1,0
Our best buy today,Rustenburg Central,549000,2,1.0,1,1
"Offers from R3,950.000 when only the best will do!",Bryanston West,3950000,3,3.0,3,1
"You will not be last, if this is your first","Meyersdal, 13/21 Philip Engelbrecht",995000,2,2.0,2,0
The perfect location for a busy young family,Vanderbijlpark SW 5,1630000,3,1.0,1,2
3 bedroom house,Danville,978000,3,1.0,1,1
A Family Starter Home in a secured Estate for SALE!!!,"Country View, 1/42 Sonneblom Road",1400000,3,2.0,2,1
Stunning 3 Bedroom Townhouse for Sale in Winchester Hills,"Winchester Hills, 29/376 Devereaux Street",1295000,3,2.0,2,1
"Once you see it, you'll want to own it!",Beacon Bay,5495000,4,2.0,4,4
Neat Home With Lots of Potential,"Groblerpark, 914 Webster Street",670000,3,1.0,1,0
Time to Break Away,Vaal Dam,1460000,3,2.0,0,0
Painting a beautiful picture,Jongensfontein,2640000,0,0.0,0,0
A jewel on the Umhlali Golf Estate,"Umhlali Golf Estate, 11 Tuscan Villas",3950000,4,4.5,0,0
Warm homey home! Entertainers delight!,Eastleigh,2150000,4,2.0,3,3
4 Bed Home in Security Complex in Eversdal Heights,Eversdal Heights,6595000,4,4.0,5,3
Spacious two bedroom apartment in Mark Heights Complex,Townsend Estate,950000,2,1.0,2,1
Luxury Beachfront Living,Lookout Beach,36250000,14,14.0,18,0
Renovators Apartment!,Durban Central,400000,1,1.0,1,0
Family and Entertainment Bonanza,Dalview,1740000,3,2.0,3,2
Hilltop lock-up and go for young professional,"Sunnyrock, 28TheHill/2 Alec road",615000,1,1.0,1,0
"A Dream Family Home in SE 4, do not miss out on this one!",Vanderbijlpark SE 4,2390000,3,3.0,3,3
Best location with panoramic views,"Paarl Central West, 12 Non Pareille Street",7500000,5,5.0,7,2
Loaded with potential!!,Vanderbijlpark CE 1,920000,4,2.0,2,2
20 000sqm land on a very busy road.,Benoni AH,12000000,6,6.0,0,0
Prime land for development 20 000sqm,Bartletts,19000000,3,3.0,0,0
Perfect Lock-up-and-go Apartment,Craigavon,1250000,2,2.0,2,0
Value for money! Don't miss out!,"Kempton Park Ext 4, 4 Palm Springs",730000,2,1.0,1,1
Neat family home with a lot to offer.,Amanzimtoti,1450000,4,2.0,2,2
Easy Living and Ocean Views in Camps Bay,Camps Bay,5900000,3,2.0,2,1
Flat in Secure complex in Reyno Ridge,Reyno Ridge,705000,2,1.0,1,0
Full title townhouse in Die Heuwel,Die Heuwel,950000,3,2.0,2,2
"2bed, 1,5 bath pet friendly duplex for sale in Mayberry Park","Mayberry Park, 2/14 Yellowwood",679000,2,1.0,2,0
4 bedroom house in Oos Einde,Oos Einde,1200000,4,3.0,3,2
Adorable 3 bedroom house for sale,Louis Trichardt,1350000,3,1.0,1,1
A True Property Gem,Boitekong,660000,3,2.0,2,0
An Affordable Beachfront Charm,"Compensation Beach, 02/Ballito Manors 102b Compensation Beach Rd",3620000,2,2.0,3,2
Lock up and go unit for sale in Parys,Parys,590000,2,1.5,2,1
Three Bedroom Apartment on the Beach Front in Port Alfred.,"Port Alfred, 302 Flame Lily",2500000,3,2.0,3,2
Invest in a coastal income generator with prime address,"Ballito Central, 11 Susan rd",8500000,8,7.0,7,0
Majestic Atmosphere on Beachfront,"Compensation Beach, 00/Ballito Manors 101 Compensation Beach Rd",4250000,3,3.0,4,0
Live Life on a Farm only 2km from the city,Beacon Bay,2500000,3,1.0,1,0
"Fully furnished Apartment, Just Bring Your Luggage!","Fleurhof, 37DignityH/0 Cone Flower Avenue",449000,2,1.0,1,0
Umbilo - Bachelor Flat,Umbilo,395000,1,1.0,1,1
Experience the Motion of the Ocean,"Jongensfontein, 50 Noorkapper",3000000,3,2.0,2,2
Living On The Waters Edge,Waterfront,7800000,1,1.0,2,0
Spotless 2 bed apartment for sale in die Hoewes,Die Hoewes AH,705000,2,1.0,1,1
Walmer R5 500 000,Walmer,5500000,4,5.0,6,2
"Property for sale in De Kelders, Gansbaai -","De Kelders, 180 Main Road",1800000,4,3.0,0,0
Slice of West Coast Magic In The Heart of Joburg,"Radiokop, 9MontanaEs/1248 Stereo Turn",1500000,3,3.0,3,1
"Airy & Sunny Hidden Gem, Sandton!","Benmore Gardens, 113 Ben Eden, Elizabeth Avenue",2050000,3,2.0,0,0
Family Home with a Private Garden!,"Edenburg, 22 Riversands, River Road",1600000,2,2.0,0,0
Southernwood on St Peters Accommodation galore,Southernwood,1499000,7,3.0,0,0
Stunning stand with views!,"Agulhas, 32 James Orchard Street",890000,0,0.0,0,0
Large family home in Die Heuwel,Die Heuwel,1495000,5,3.0,4,2
"Lovely townhouse home in Rivonia, Sandton","Edenburg, 1/13B Morris Street",1399000,2,2.0,0,0
Classy Bedfordview Cluster,Bedfordview,8500000,5,4.0,4,3
"Huge, Spacious, Sunny, Offering for the entire Family.",Heidelberg Central,1360000,4,2.0,2,3
Zone D Property Up for Grabs,Ezibeleni,550000,3,1.0,2,0
A Smallholding and Unique Business Opportunity,King Williams Town Rural,3500000,2,1.0,2,0
Breathtaking Views. On Top of the World. Incredible Home.,"Spanish Farm, 1 Alston",16500000,4,4.0,2,0
Nature living in Knysna,Knysna Central,2695000,3,3.0,3,2
Newly renovated beautiful home in Park Rynie.,"Park Rynie, 71 Saville Road",1650000,4,4.0,4,2
Stand for your Dream Home,Upper Robberg,820000,0,0.0,0,0
Ground floor unit near schools and public transport,Germiston South,460000,2,1.0,1,0
Family living on the Ridge.,Waterkloof Ridge,3000000,3,2.0,2,2
3 Bedroom home for sale Country Club Langebaan,Country Club,1850000,3,2.0,2,2
Lovely Duplex for sale,Komatipoort,815000,2,3.0,3,0
Snap up this superb investment opportunity,Kranshoek AH,9160000,0,0.0,0,0
Excellent Secure Family Home. Great Value. A must see.,Brakpan North,1479000,3,2.0,2,2
Large Fully Serviced stand,"Da Gama Bay, 15 Heuwel Street Heuwel Street",322000,0,0.0,0,0
Large stand with Beautiful Views,"Da Gama Bay, 24 Admiral Drive",430000,0,0.0,0,0
Enviable location in prime position!,Risiville,1170000,4,2.0,0,0
Vanderbijlpark CE1: Newly Renovated Home,Vanderbijlpark CE 1,1000000,4,2.0,2,0
4 Bedroom House positioned second row from beach,"Shelley Point, 10 15th Street",2900000,4,4.5,5,2
Stunning home in Lampiesbaai,"Lampiesbaai, 14 Seal Crescent",1350000,3,2.0,2,1
Gorgeous  property with flatlet,Modder East,1200000,6,2.0,1,2
Live the life,"Pennington, 17/1 Selborne, R102",2500000,3,3.0,4,2
Living In Nature,Nelspruit North,3995000,3,2.0,4,0
Stroll through the park to the beach,Seaside Longships,1850000,3,2.5,2,1
2 Stands available at a bargain price,Komatipoort,651750,0,0.0,0,0
Masterfully designed with generous living spaces - Rynfield,Rynfield,5300000,4,5.0,5,3
Wonderful opportunity to invest in a great unit.,"Struisbaai, 2/90 Protea Road, Unit 2 The Tides",1650000,3,2.0,2,1
A must go,Modder East,920000,3,1.0,1,0
Land for Sale in a Secure Development in Port Alfred.,"Port Alfred, 4 - 20 Royal Alfred Acre Estate, St Andrews Road",350000,0,0.0,0,0
"Position, Privacy and Perfection","Swellendam, 9 Van Oudtshoorn Road",1050000,0,0.0,0,0
Beachside Stylish Apartment.,Myoli Beach,870000,1,0.0,0,0
Charming Modern 3 Town House in Security Estate,Parklands North,2300000,3,2.0,3,2
Charming Modern 3 Town House in Security Estate,Parklands North,2300000,3,2.0,3,2
Oh What a Beautiful View,"Sheffield Beach, 77/17 Colwyn Dr",3750000,3,2.0,2,1
Under Offer,Agulhas,1595000,2,1.0,2,0
3 bedroom family house,Bo Dorp,1200000,3,2.0,2,1
Be Wowed by the View,"Waterfall, 15/85 Nkutu Vale, Niagara Drive",1925000,3,3.0,2,0
"Wonderful Lifestyle, Winning Location",Myoli Beach,910000,1,1.0,0,0
"New, no transfer duty and 228sqm under roof space!","Sandown, 38 Clivia Crescent",3250000,4,3.0,0,0
Views! Views! and more Views!,"Amber Valley, 5 Karkloof road",2800000,2,2.0,2,2
Plot for Sale in Port Alfred.,"Port Alfred, 26 Silly Point Street",150000,0,0.0,0,0
Exquisite refurbished home in a secure boomed off lane,Lambton,4300000,4,3.0,3,2
Enchanting 3 Bedroom Townhouse,Waterval East,1580000,3,2.0,2,2
Modern Face Brick,Meer En See,2100000,4,3.0,3,2
Oak Park,Oak Park,1595000,4,2.5,3,2
Farm style HOME !!,Waterval East,2099999,3,2.0,2,2
Well-located,Parys,305000,1,1.0,0,0
A place in the sun.,Vanderbijlpark CE 2,499000,2,1.0,1,2
Make this House a Home!,Ventersdorp,320000,3,1.0,0,0
2 Bedroom Apartment / Flat for Sale in Sonstraal Heights,Sonstraal Heights,1175000,2,1.0,1,0
Large family home in the heart of Widenham,"Widenham, 21 Cheltenham Road",1300000,4,2.0,2,2
Beginners dream,Rustenburg Central,424000,2,1.0,1,0
Strategic located property for sale in Musgrave,Musgrave,2200000,4,4.0,4,0
Here's a Little Gem With Heaps Of Potential,"Ballito Central, 13 Celtis Road",2000000,3,2.0,2,1
Well-maintained 4 Bedroom house- incredible value! .,"Westcliff, 45a Buitenkant Street",1750000,4,2.0,2,2
In the mood for an upgrade project?,Safari Gardens,1300000,3,2.0,2,1
3 Bedroom House,"Parys, 18B Second Avenue",910000,3,2.0,2,1
2 Bedroom Apartment in Sunset Heights,Mykonos,1200000,2,2.0,2,0
Spacious Beach Front Apartment,Amanzimtoti,1450000,3,2.0,2,0
A Gem in Brettenwood,"Brettenwood Coastal Estate, 505 Plover",5850000,3,3.5,2,0
Large family home in Jongensfontein,"Jongensfontein, 65 Rowweklip laan",2670000,4,3.0,3,2
New Market Release,Phakamisa,750000,2,1.0,1,1
Delightful starter home with a granny flat,Bluff,1250000,2,1.0,1,2
Luxury Golf Course living could be yours,"Zimbali Coastal Resort & Estate, 42 Club Drive",13900000,6,4.5,1,0
"Spacious, modern duplex with garden and nearby schools!",Magalieskruin,888000,2,1.5,1,0
Family Face Brick House For Sale!,Boskloof,1350000,3,2.0,1,0
"Fabulously Modern Lock-Up-&-Go, Holiday, Permanent Residence",Zeegezicht,1995000,3,2.0,1,0
Beautiful Residence Selling Below Bank Valuation,Cashan,3710000,4,4.0,4,2
3 Bedroom House For Sale,Tlhabane West,699000,3,1.0,1,0
"Forget the King, this is fit for a Queen.",Norton Home Estate,9250000,6,5.0,6,10
Exquisite 2-bedroom apartment in Pretoria North!,Theresapark,655000,2,2.0,6,0
Stunning Lifestyle Home with Staff Quarters,"Woodmead, 5 Khyber Rock, Tibet Close",2999000,3,2.0,3,2
Three Bedroom Family Home with Views in Port Alfred,"Forest Downs, 13 Seaford Street",1695000,3,3.0,3,2
Level Plot With Great Sea Views in Port Alfred,"Emerald Heights, 10 Periwinkle Close",250000,0,0.0,0,0
Surround yourself with comfortable living!,"Agulhas, 16 Ratcliff Street",2595000,5,3.0,3,2
